In which faculty are you based?,Which of the following organisations usually fund your research?,What is your job title?,Simplified job title,Do you use research software?,How important is research software to your work?,Have you developed your own research software?,How do you rate your software development expertise?,Do you feel that you have received sufficient training to develop reliable software?,Would you be interested in the university helping you commercialise some of your research software?,Do you feel that your research software is ready to be shared with a commercial partner?,"Have you used IRIDIS, the University's high-performance computing (HPC) system?",How confident are you with the following technologies? [Version control],How confident are you with the following technologies? [Continuous integration],How confident are you with the following technologies? [Unit testing],How would you rate the university's current level of support for your software-development needs?,Have you or someone in your group ever hired someone specifically to develop software?,Have you ever included costs for software development in a funding proposal?,How suitable would the following models be for your software development needs? [Hire a full-time software developer],How suitable would the following models be for your software development needs? [Recruit a developer from a central Southampton pool as needed]
Faculty of Engineering and Physical Sciences,ESRC,Research fellow,Research Fellow,Yes,5,Yes,4,No,Yes,Yes,"No, I do not require HPC in my research",Very confident,Confident,Very confident,3,Yes,No (I'm not involved in writing funding proposals),Unsuitable,Suitable
Faculty of Engineering and Physical Sciences,EPSRC,postdoctoral research fellow,Research Fellow,Yes,4,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Suitable,Suitable
Faculty of Engineering and Physical Sciences,EPSRC,PhD researcher,PhD,Yes,5,Yes,4,No,Yes,I'm not interested in commercialising my research software,"No, I use other HPC facilities",Not confident,Not confident,Not confident,2,No,No (I'm not involved in writing funding proposals),Unsuitable,Suitable
Faculty of Engineering and Physical Sciences,EPSRC,PhD Student,PhD,Yes,5,Yes,4,Yes,No,No,"No, I do not require HPC in my research",Confident,Not confident,Not confident,4,No,No (I'm not involved in writing funding proposals);No (we did NOT expect to write software as part of the project),Unsuitable,Unsuitable
Faculty of Engineering and Physical Sciences,EPSRC,PhD Researcher,PhD,Yes,4,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Suitable,Suitable
Faculty of Engineering and Physical Sciences,EPSRC,PhD Candidate,PhD,Yes,5,Yes,3,Yes,No,I'm not interested in commercialising my research software,Yes,Very confident,Confident,Confident,3,Yes,No (I'm not involved in writing funding proposals),,
Faculty of Engineering and Physical Sciences,STFC,astronomer,astronomer,Yes,5,Yes,3,Yes,No,No,Yes,Not confident,Not heard of it,Not confident,1,Yes,Yes,Unsuitable,Suitable
Faculty of Engineering and Physical Sciences,Commercial entities,Senior Fellow,Senior Fellow,Yes,4,Yes,4,No,No,I'm not interested in commercialising my research software,"No, I do not require HPC in my research",Not confident,Not confident,Not confident,2,No,No (we did NOT expect to write software as part of the project),Unsuitable,Suitable
Faculty of Engineering and Physical Sciences,EPSRC,Postgraduate Researcher,PhD,Yes,5,Yes,4,Yes,No,I'm not interested in commercialising my research software,Yes,Confident,Not confident,Confident,4,No,No (I'm not involved in writing funding proposals),Unsuitable,Unsuitable
Faculty of Engineering and Physical Sciences,EPSRC,Postgraduate Student,Postgraduate Student,Yes,4,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Suitable,Suitable
Faculty of Engineering and Physical Sciences,British Heart Foundation,Research Fellow,Research Fellow,Yes,5,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Suitable,Perfect
Faculty of Engineering and Physical Sciences,EPSRC,Research Fellow,Research Fellow,Yes,5,No,,,,,,,,,,No,No (we did NOT expect to write software as part of the project),Unsuitable,Suitable
Faculty of Engineering and Physical Sciences,University of Southampton,PhD candidate,PhD,Yes,5,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Unsuitable,Unsuitable
Faculty of Engineering and Physical Sciences,EPSRC,PhD student,PhD,Yes,5,No,,,,,,,,,,Yes,No (I'm not involved in writing funding proposals),Perfect,Perfect
Faculty of Engineering and Physical Sciences,EPSRC;DSTL,Research Fellow,Research Fellow,Yes,5,No,,,,,,,,,,No,No (we did NOT expect to write software as part of the project),Unsuitable,Perfect
Faculty of Engineering and Physical Sciences,EPSRC,PhD student,PhD,Yes,5,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),,
Faculty of Engineering and Physical Sciences,EPSRC,Postgraduate researcher,PhD,Yes,5,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Unsuitable,Suitable
Faculty of Engineering and Physical Sciences,STFC,PhD researcher,PhD,Yes,5,Yes,4,No,No,I'm not interested in commercialising my research software,"No, I use other HPC facilities",Very confident,Very confident,Very confident,2,No,No (I'm not involved in writing funding proposals),Unsuitable,Unsuitable
Faculty of Engineering and Physical Sciences,EPSRC,PhD Student,PhD,Yes,5,Yes,1,No,No,No,"No, I do not require HPC in my research",Not confident,Not heard of it,Not heard of it,3,No,No (I'm not involved in writing funding proposals),Unsuitable,Unsuitable
Faculty of Engineering and Physical Sciences,EPSRC,PhD student,PhD,Yes,5,Yes,3,No,No,I'm not interested in commercialising my research software,"No, I do not require HPC in my research",Not confident,Not heard of it,Not confident,3,No,No (I'm not involved in writing funding proposals),,Suitable
Faculty of Engineering and Physical Sciences,AHRC;BBSRC;EPSRC;ESRC;MRC;NERC;STFC,Professor,Professor,Yes,5,Yes,3,No,Yes,No,"No, I do not require HPC in my research",Very confident,Not confident,Not confident,2,Yes,Yes,Suitable,Perfect
Faculty of Engineering and Physical Sciences,EPSRC,PhD student,PhD,Yes,4,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Unsuitable,Unsuitable
Faculty of Engineering and Physical Sciences,EPSRC;MRC;British Heart Foundation,Research fellow,Research Fellow,Yes,5,Yes,4,No,Yes,Yes,Yes,Not confident,Not confident,Confident,2,Yes,No (I'm not involved in writing funding proposals),Suitable,Suitable
Faculty of Engineering and Physical Sciences,EPSRC;MRC;NERC,Professor of Biomechanics,Professor of Biomechanics,Yes,5,Yes,3,No,No,No,"No, but I would like to use IRIDIS in the future",Not confident,Not confident,Not confident,3,Yes,No (but we DID expect to write software as part of the project),Unsuitable,Perfect
Faculty of Engineering and Physical Sciences,EPSRC;Private company,PhD student,PhD,Yes,5,No,,,,,,,,,,No,No (we did NOT expect to write software as part of the project),Unsuitable,Suitable
Faculty of Engineering and Physical Sciences,EPSRC,PhD Student,PhD,Yes,5,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Unsuitable,Unsuitable
Faculty of Engineering and Physical Sciences,EPSRC,PhD Student,PhD,Yes,5,Yes,2,No,No,No,"No, but I would like to use IRIDIS in the future",Not confident,Not confident,Confident,3,No,No (I'm not involved in writing funding proposals),Unsuitable,Perfect
Faculty of Engineering and Physical Sciences,EPSRC;SMMI,PhD student,PhD,Yes,4,Yes,4,No,Yes,No,"No, but I would like to use IRIDIS in the future",Confident,Confident,Not confident,4,Yes,Yes,Suitable,Suitable
Faculty of Engineering and Physical Sciences,EPSRC,PhD student,PhD,Yes,5,No,,,,,,,,,,Yes,No (I'm not involved in writing funding proposals),Perfect,Perfect
Faculty of Engineering and Physical Sciences,EPSRC,Postgraduate research student ,PhD,Yes,5,Yes,3,No,No,I'm not interested in commercialising my research software,"No, I do not require HPC in my research",Not heard of it,Not heard of it,Not heard of it,3,Yes,No (I'm not involved in writing funding proposals),Suitable,Unsuitable
Faculty of Engineering and Physical Sciences,EPSRC;Innovate UK,Research Fellow,Research Fellow,Yes,5,Yes,2,No,Yes,I'm not interested in commercialising my research software,"No, I do not require HPC in my research",Not confident,Confident,Confident,3,No,No (I'm not involved in writing funding proposals),Unsuitable,Perfect
Faculty of Engineering and Physical Sciences,EPSRC,Phd student,PhD,Yes,5,Yes,4,Yes,No,I'm not interested in commercialising my research software,Yes,Very confident,Confident,Not confident,3,No,No (I'm not involved in writing funding proposals),Unsuitable,Suitable
Faculty of Engineering and Physical Sciences,Allocated budgets,Principal teaching fellow and laboratory manager,Principal Teaching Fellow,Yes,5,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Unsuitable,Suitable
Faculty of Engineering and Physical Sciences,EPSRC,PhD Student,PhD,Yes,4,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Unsuitable,Unsuitable
Faculty of Engineering and Physical Sciences,EPSRC;Ordnance Survey,PGR,PGR,Yes,5,Yes,4,No,No,I'm not interested in commercialising my research software,"No, but I would like to use IRIDIS in the future",Confident,Confident,Very confident,3,No,No (I'm not involved in writing funding proposals),Unsuitable,Unsuitable
Faculty of Engineering and Physical Sciences,EPSRC,PhD Researcher,PhD,Yes,5,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Unsuitable,Suitable
Faculty of Engineering and Physical Sciences,EPSRC,PhD Student,PhD,Yes,5,Yes,3,Yes,No,I'm not interested in commercialising my research software,Yes,Confident,Not confident,Not confident,3,Yes,No (I'm not involved in writing funding proposals),Unsuitable,Unsuitable
Faculty of Engineering and Physical Sciences,Action on Hearing Loss,PhD student,PhD,Yes,5,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Unsuitable,Unsuitable
Faculty of Engineering and Physical Sciences,SACB,PhD student,PhD,Yes,4,Yes,3,No,Yes,No,"No, but I would like to use IRIDIS in the future",Confident,Confident,Very confident,2,Yes,No (but we DID expect to write software as part of the project),Suitable,Unsuitable
Faculty of Engineering and Physical Sciences,Unknown,PhD Student,PhD,Yes,5,Yes,4,Yes,Yes,No,"No, but I may like to use IRIDIS in the future",Confident,Confident,Confident,3,Yes,Yes,,
Faculty of Engineering and Physical Sciences,EPSRC;STFC,Postgraduate Researcher,PhD,Yes,5,Yes,2,No,Yes,No,"No, but I would like to use IRIDIS in the future",Confident,Not heard of it,Not heard of it,3,Yes,No (I'm not involved in writing funding proposals),Unsuitable,Unsuitable
Faculty of Engineering and Physical Sciences,EPSRC,PhD student,PhD,Yes,5,No,,,,,,,,,,No,Yes,Unsuitable,Unsuitable
Faculty of Engineering and Physical Sciences,EPSRC,Phd Candidate,PhD,Yes,5,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Suitable,Suitable
Faculty of Engineering and Physical Sciences,Marie Sklodowska-Curie Actions,Marie Sklodowska-Curie Fellow ITN,Marie Sklodowska-Curie Fellow ITN,Yes,5,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Unsuitable,Unsuitable
Faculty of Engineering and Physical Sciences,"The Ministry of Research, Science and Higher Education of Indonesia",M.Phil/PhD Student,M.Phil/PhD Student,Yes,5,Yes,1,No,No,No,"No, but I would like to use IRIDIS in the future",Not heard of it,Not heard of it,Not heard of it,5,No,No (I'm not involved in writing funding proposals),Suitable,Suitable
Faculty of Engineering and Physical Sciences,EPSRC;Lloyd's Register Foundation and EU,Professor,Professor,Yes,5,Yes,4,No,No,Yes,Yes,Confident,Confident,Confident,3,Yes,Yes,Perfect,Unsuitable
Faculty of Engineering and Physical Sciences,STFC,,,Yes,5,Yes,3,Yes,,No,Yes,Confident,Not confident,Not confident,,Yes,Yes,Suitable,Suitable
Faculty of Engineering and Physical Sciences,BBSRC;EPSRC;MRC,Research fellow,Research Fellow,Yes,5,No,,,,,,,,,,No,No (we did NOT expect to write software as part of the project),Unsuitable,Suitable
Faculty of Engineering and Physical Sciences,EPSRC,Phd,PhD,Yes,4,Yes,2,No,Yes,No,"No, but I would like to use IRIDIS in the future",Confident,Not heard of it,Not heard of it,2,Yes,No (I'm not involved in writing funding proposals),Unsuitable,Suitable
Faculty of Engineering and Physical Sciences,EPSRC,Snr Data Scientist,Snr Data Scientist,Yes,5,Yes,5,No,Yes,No,Yes,Very confident,Confident,Confident,2,Yes,No (I'm not involved in writing funding proposals),Unsuitable,Perfect
Faculty of Engineering and Physical Sciences,EPSRC,Postgraduate Research Student,PhD,Yes,2,Yes,4,No,No,I'm not interested in commercialising my research software,"No, but I would like to use IRIDIS in the future",Very confident,Not heard of it,Very confident,2,No,No (I'm not involved in writing funding proposals),Unsuitable,Unsuitable
Faculty of Environmental and Life Sciences,NERC,PhD student,PhD,Yes,5,No,,,,,,,,,,Yes,No (I'm not involved in writing funding proposals),Suitable,Suitable
Faculty of Engineering and Physical Sciences,EPSRC,Research Fellow,Research Fellow,Yes,3,Yes,4,No,Yes,No,"No, but I would like to use IRIDIS in the future",Confident,Confident,Confident,3,No,No (I'm not involved in writing funding proposals),Unsuitable,Suitable
Faculty of Engineering and Physical Sciences,,PhD Student,PhD,Yes,5,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Unsuitable,Unsuitable
Faculty of Engineering and Physical Sciences,EPSRC,PhD Candidate,PhD,Yes,5,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),,
Faculty of Engineering and Physical Sciences,EPSRC,Research fellow,Research Fellow,Yes,5,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Unsuitable,Suitable
Faculty of Engineering and Physical Sciences,BBSRC;EPSRC;NERC;British Heart Foundation,Professor,Professor,Yes,5,Yes,5,No,Yes,No,Yes,Confident,Not heard of it,Not confident,1,No,No (but we DID expect to write software as part of the project),Suitable,Unsuitable
Faculty of Engineering and Physical Sciences,EPSRC,PhD Candidate,PhD,Yes,5,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Unsuitable,Suitable
Faculty of Engineering and Physical Sciences,EPSRC,Electronics Engineer ,Electronics Engineer ,Yes,5,Yes,3,No,Yes,Yes,Yes,Confident,Confident,Very confident,4,No,No (I'm not involved in writing funding proposals),Suitable,Perfect
Faculty of Engineering and Physical Sciences,EPSRC;NERC,Post graduate researcher,Postgrad,Yes,5,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Unsuitable,Perfect
Faculty of Engineering and Physical Sciences,EPSRC;NERC;International,Associate Prof,Associate Professor,Yes,5,Yes,4,No,No,I'm not interested in commercialising my research software,Yes,Very confident,Not confident,Very confident,3,Yes,Yes,Unsuitable,Perfect
Faculty of Engineering and Physical Sciences,EPSRC,PhD Candidate,PhD,Yes,5,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Unsuitable,Suitable
Faculty of Engineering and Physical Sciences,EPSRC,PhD Student,PhD,Yes,5,Yes,5,Yes,Yes,Yes,Yes,Very confident,Very confident,Very confident,1,No,Yes,Suitable,Suitable
Faculty of Engineering and Physical Sciences,EPSRC,PhD Student,PhD,Yes,5,Yes,4,No,No,I'm not interested in commercialising my research software,"No, but I would like to use IRIDIS in the future",Not confident,Not confident,Not confident,3,Yes,No (I'm not involved in writing funding proposals),Perfect,Unsuitable
Faculty of Engineering and Physical Sciences,EPSRC,PGR,PGR,Yes,5,Yes,4,Yes,No,I'm not interested in commercialising my research software,Yes,Confident,Confident,Very confident,4,No,No (I'm not involved in writing funding proposals),Unsuitable,Unsuitable
Faculty of Engineering and Physical Sciences,EPSRC;ERC,Prof,Prof,Yes,5,Yes,4,No,No,I'm not interested in commercialising my research software,"No, but I would like to use IRIDIS in the future",Confident,Not heard of it,Not heard of it,2,No,No (but we DID expect to write software as part of the project),Suitable,Unsuitable
Faculty of Engineering and Physical Sciences,EPSRC,PhD student,PhD,Yes,5,Yes,1,No,No,No,"No, I do not require HPC in my research",Not heard of it,Not heard of it,Not heard of it,1,No,No (I'm not involved in writing funding proposals),Suitable,Perfect
Faculty of Engineering and Physical Sciences,EPSRC;Leverhulme Trust,Research Fellow,Research Fellow,Yes,5,Yes,4,Yes,Yes,Yes,"No, I use other HPC facilities",Confident,Not heard of it,Not heard of it,3,No,No (but we DID expect to write software as part of the project),Unsuitable,Unsuitable
Faculty of Engineering and Physical Sciences,self-funded,PhD student,PhD,Yes,5,Yes,3,No,No,I'm not interested in commercialising my research software,"No, I do not require HPC in my research",Not confident,Not heard of it,Not heard of it,3,No,No (I'm not involved in writing funding proposals),Unsuitable,Unsuitable
Faculty of Engineering and Physical Sciences,EPSRC;ERC,PhD Student,PhD,Yes,5,Yes,1,No,No,I'm not interested in commercialising my research software,"No, I do not require HPC in my research",Not confident,Not heard of it,Not heard of it,3,No,No (I'm not involved in writing funding proposals),,Perfect
Faculty of Engineering and Physical Sciences,University of Southampton,PhD Research student,PhD,Yes,5,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Unsuitable,Suitable
Faculty of Engineering and Physical Sciences,Rolls-Royce,Principal Research Fellow,Principal Research Fellow,Yes,4,No,,,,,,,,,,Yes,No (we did NOT expect to write software as part of the project),Unsuitable,Unsuitable
Faculty of Engineering and Physical Sciences,"Melanesian Mission UK, SMMI",PhD student,PhD,Yes,4,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),,
Faculty of Engineering and Physical Sciences,EPSRC,Research Fellow,Research Fellow,Yes,5,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Unsuitable,Suitable
Faculty of Environmental and Life Sciences,NERC,PhD Student,PhD,Yes,5,Yes,2,No,No,No,"No, I use other HPC facilities",Very confident,Not heard of it,Not heard of it,3,No,No (I'm not involved in writing funding proposals),Unsuitable,Unsuitable
Faculty of Engineering and Physical Sciences,CONACYT ,PhD student ,PhD,Yes,5,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Unsuitable,Suitable
Faculty of Engineering and Physical Sciences,EPSRC,Research Fellow,Research Fellow,Yes,4,Yes,4,No,Yes,Yes,"No, but I would like to use IRIDIS in the future",Confident,Not confident,Confident,3,Yes,Yes,Suitable,Perfect
Faculty of Engineering and Physical Sciences,EPSRC,PhD Student,PhD,Yes,5,Yes,3,No,No,No,Yes,Not confident,Not heard of it,Confident,2,No,No (I'm not involved in writing funding proposals),Unsuitable,Suitable
Faculty of Engineering and Physical Sciences,EPSRC,PhD student,PhD,Yes,5,Yes,4,Yes,No,No,Yes,Confident,Confident,Confident,4,Yes,No (I'm not involved in writing funding proposals),Unsuitable,Suitable
Faculty of Engineering and Physical Sciences,EPSRC,PhD Student,PhD,Yes,5,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Unsuitable,Suitable
Faculty of Engineering and Physical Sciences,EPSRC;Royal Society,PhD student,PhD,Yes,5,Yes,2,No,No,No,Yes,Not confident,Not confident,Not confident,4,No,No (I'm not involved in writing funding proposals),,Perfect
Faculty of Engineering and Physical Sciences,EPSRC,PhD candidate,PhD,Yes,5,No,,,,,,,,,,No,Yes,Unsuitable,Suitable
Faculty of Engineering and Physical Sciences,EPSRC,Principal research fellow,Principal Research Fellow,Yes,5,No,,,,,,,,,,No,No (but we DID expect to write software as part of the project),Suitable,Perfect
Faculty of Engineering and Physical Sciences,CONACYT-SENER,Postgraduate Researcher,PhD,Yes,5,No,,,,,,,,,,No,No (we did NOT expect to write software as part of the project),Unsuitable,Perfect
Faculty of Engineering and Physical Sciences,Conacyt México ,,,Yes,5,No,,,,,,,,,,Yes,No (I'm not involved in writing funding proposals),Unsuitable,Suitable
Faculty of Engineering and Physical Sciences,EPSRC,Senior Research Assistant,Research Assistant,Yes,4,Yes,1,No,Yes,No,Yes,Confident,Not heard of it,Not heard of it,1,No,No (I'm not involved in writing funding proposals),Unsuitable,Suitable
Faculty of Engineering and Physical Sciences,EPSRC,PhD,PhD,Yes,5,No,,,,,,,,,,Yes,No (I'm not involved in writing funding proposals),Suitable,Suitable
Faculty of Engineering and Physical Sciences,EPSRC,Research Fellow,Research Fellow,Yes,5,Yes,5,Yes,Yes,No,Yes,Very confident,Very confident,Very confident,3,No,No (I'm not involved in writing funding proposals),Suitable,Suitable
Faculty of Engineering and Physical Sciences,EPSRC,Research Fellow,Research Fellow,Yes,5,No,,,,,,,,,,No,No (we did NOT expect to write software as part of the project),Unsuitable,Unsuitable
Faculty of Engineering and Physical Sciences,ESRC;MRC;Wellcome Trust,Beam Scientist / µ-VIS Fellow,Beam Scientist / µ-VIS Fellow,Yes,5,Yes,3,No,No,No,Yes,Not confident,Not confident,Not heard of it,2,Yes,Yes,Suitable,Perfect
Faculty of Engineering and Physical Sciences,EPSRC,Postdoctoral research fellow,Research Fellow,Yes,5,No,,,,,,,,,,No,No (we did NOT expect to write software as part of the project),Unsuitable,Suitable
Faculty of Engineering and Physical Sciences,EPSRC;NERC,associate professor,Associate Professor,Yes,5,Yes,5,Yes,Yes,Yes,Yes,Not confident,Not confident,Not confident,3,No,No (but we DID expect to write software as part of the project),Suitable,
Faculty of Engineering and Physical Sciences,EPSRC,Research Assistant,Research Assistant,Yes,5,Yes,4,Yes,,I'm not interested in commercialising my research software,"No, but I would like to use IRIDIS in the future",Very confident,Confident,Confident,4,No,No (I'm not involved in writing funding proposals),,
Faculty of Engineering and Physical Sciences,EPSRC,Postgraduate Researcher,PhD,Yes,5,Yes,4,Yes,No,Yes,Yes,Confident,Not confident,Confident,5,Yes,No (I'm not involved in writing funding proposals),Unsuitable,Unsuitable
Faculty of Engineering and Physical Sciences,Mayflower,PhD student,PhD,Yes,5,Yes,3,No,No,I'm not interested in commercialising my research software,"No, I'm not sure if I'll need to yet",Confident,Not confident,Not confident,3,No,No (I'm not involved in writing funding proposals),Unsuitable,Unsuitable
Faculty of Engineering and Physical Sciences,STFC;UKIERI,PhD Student,PhD,Yes,5,No,,,,,,,,,,No,No (we did NOT expect to write software as part of the project),Unsuitable,Suitable
Faculty of Environmental and Life Sciences,EPSRC,PhD Candidate,PhD,Yes,5,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Unsuitable,Suitable
Faculty of Engineering and Physical Sciences,ERC,Postdoctoral Researcher,Postdoc,Yes,5,Yes,4,Yes,No,No,Yes,Confident,Not confident,Not confident,2,No,No (but we DID expect to write software as part of the project),Suitable,Suitable
Faculty of Engineering and Physical Sciences,EPSRC,Phd student,PhD,Yes,5,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Unsuitable,Perfect
Faculty of Engineering and Physical Sciences,STFC,PhD Student,PhD,Yes,5,Yes,3,No,No,I'm not interested in commercialising my research software,"No, but I would like to use IRIDIS in the future",Confident,Not heard of it,Not confident,2,No,No (I'm not involved in writing funding proposals),Unsuitable,Suitable
Faculty of Engineering and Physical Sciences,EPSRC,Lecturer,Lecturer,Yes,4,No,,,,,,,,,,No,No (we did NOT expect to write software as part of the project),Unsuitable,Unsuitable
Faculty of Engineering and Physical Sciences,EPSRC,Research Engineer,Research Engineer,Yes,5,Yes,5,No,Yes,Yes,"No, I do not require HPC in my research",Not confident,Not confident,Confident,2,No,No (I'm not involved in writing funding proposals),Suitable,Perfect
Zepler Institute ,EPSRC,Research Fellow,Research Fellow,Yes,5,Yes,4,No,Yes,No,Yes,Confident,Not heard of it,Not heard of it,3,No,No (I'm not involved in writing funding proposals),Unsuitable,Suitable
Faculty of Engineering and Physical Sciences,EPSRC,PhD Student,PhD,Yes,5,Yes,2,No,Yes,No,"No, but I would like to use IRIDIS in the future",Confident,Not confident,Not confident,3,No,No (I'm not involved in writing funding proposals),Unsuitable,Unsuitable
Faculty of Engineering and Physical Sciences,EPSRC,"Operations Manager, UK National Crystallography Service","Operations Manager, UK National Crystallography Service",Yes,5,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Unsuitable,Suitable
Faculty of Engineering and Physical Sciences,EPSRC,PhD candidate,PhD,Yes,5,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),,Perfect
Faculty of Engineering and Physical Sciences,EPSRC;NERC,Research Fellow,Research Fellow,Yes,5,Yes,4,No,Yes,No,"No, but I would like to use IRIDIS in the future",Very confident,Confident,Not confident,2,Yes,No (but we DID expect to write software as part of the project),Perfect,Suitable
Faculty of Engineering and Physical Sciences,EPSRC,PhD Researcher,PhD,Yes,3,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Unsuitable,Suitable
Faculty of Engineering and Physical Sciences,EPSRC,Research Fellow (postdoc),Research Fellow (postdoc),Yes,5,Yes,3,No,No,No,Yes,Confident,Not confident,Not confident,3,Yes,No (I'm not involved in writing funding proposals),Suitable,Suitable
Faculty of Engineering and Physical Sciences,EPSRC,Prof,Prof,Yes,4,Yes,4,No,No,No,Too little memory,Confident,Not heard of it,Not heard of it,,No,No (but we DID expect to write software as part of the project),Unsuitable,Unsuitable
Faculty of Engineering and Physical Sciences,EPSRC,PhD student,PhD,Yes,5,No,,,,,,,,,,No,No (we did NOT expect to write software as part of the project),Unsuitable,Suitable
ECS,EPSRC,PhD Student,PhD,No,1,Yes,4,No,Yes,No,"No, I do not require HPC in my research",Not confident,Not heard of it,Not heard of it,3,No,No (I'm not involved in writing funding proposals),Unsuitable,Unsuitable
Faculty of Engineering and Physical Sciences,Leverhulme Trust,Senior Research Fellow,Senior Research Fellow,Yes,5,Yes,4,No,No,Yes,Yes,Very confident,Very confident,Very confident,2,No,Yes,Unsuitable,Unsuitable
Faculty of Engineering and Physical Sciences,EPSRC;RAE,Professor,Professor,Yes,4,No,,,,,,,,,,No,No (we did NOT expect to write software as part of the project),Unsuitable,Suitable
Faculty of Engineering and Physical Sciences,EPSRC,Associate Professor,Associate Professor,Yes,5,Yes,4,Yes,No,No,Yes,Confident,Not confident,Confident,3,No,No (but we DID expect to write software as part of the project),Unsuitable,Suitable
Faculty of Engineering and Physical Sciences,EPSRC,Fellow Researcher,Fellow Researcher,Yes,5,No,,,,,,,,,,Yes,No (I'm not involved in writing funding proposals),Suitable,Unsuitable
Faculty of Engineering and Physical Sciences,EPSRC,PhD Student,PhD,Yes,4,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Unsuitable,Unsuitable
Faculty of Engineering and Physical Sciences,EPSRC,research fellow,Research Fellow,Yes,5,No,,,,,,,,,,Yes,No (I'm not involved in writing funding proposals),Unsuitable,Suitable
Faculty of Engineering and Physical Sciences,EPSRC,Research Fellow,Research Fellow,Yes,4,No,,,,,,,,,,No,Yes,Unsuitable,Suitable
Faculty of Engineering and Physical Sciences,"EPSRC;NIHR;Action on Hearing Loss, Oticon foundation",Associate prof,Associate Professor,Yes,4,Yes,4,No,No,I'm not interested in commercialising my research software,PhD students have,Not confident,Not heard of it,Not confident,1,Yes,No (we did NOT expect to write software as part of the project),Unsuitable,Suitable
Faculty of Engineering and Physical Sciences,EPSRC,PhD Student,PhD,Yes,5,Yes,3,No,No,No,"No, but I would like to use IRIDIS in the future",Not confident,Not confident,Not confident,4,No,No (I'm not involved in writing funding proposals),Unsuitable,Unsuitable
Faculty of Engineering and Physical Sciences,EPSRC,Overdog,Overdog,Yes,5,Yes,5,No,No,Yes,Yes,Confident,Not heard of it,Not confident,3,Yes,Yes,Perfect,Unsuitable
Faculty of Engineering and Physical Sciences,Horizon 2020,Research Fellow,Research Fellow,Yes,5,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),,
Faculty of Engineering and Physical Sciences,EPSRC,PhD,PhD,Yes,5,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Suitable,Suitable
Faculty of Engineering and Physical Sciences,EPSRC;Industrial sponsor (non-disclosable),Chemistry PhD student,Chemistry PhD student,Yes,5,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Unsuitable,Unsuitable
Faculty of Engineering and Physical Sciences,"Innovative UK, EU Framework programmes, Industrial partner",Senior Research Fellow,Senior Research Fellow,Yes,5,Yes,3,No,No,I'm not interested in commercialising my research software,Yes,Not confident,Not confident,Not confident,3,No,Yes;No (but we DID expect to write software as part of the project),Unsuitable,Unsuitable
Faculty of Medicine,NIHR,Postdoc,Postdoc,Yes,5,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Suitable,Suitable
Faculty of Medicine,BBSRC;MRC;NIHR,Lecturer in Computational Genetics,Lecturer in Computational Genetics,Yes,5,Yes,3,No,No,I'm not interested in commercialising my research software,Yes,Confident,Not heard of it,Not heard of it,4,Yes,Yes,Unsuitable,Perfect
Faculty of Medicine,NIHR,,,Yes,5,Yes,2,No,No,I'm not interested in commercialising my research software,Yes,Not confident,Not confident,Not confident,1,No,No (we did NOT expect to write software as part of the project),Unsuitable,Unsuitable
Faculty of Medicine,MRC;NIHR,Professor,Professor,Yes,5,No,,,,,,,,,,Yes,Yes,Unsuitable,Suitable
Faculty of Medicine,NICE,Senior Reserch Fellow,Senior Research Fellow,Yes,4,No,,,,,,,,,,No,No (but we DID expect to write software as part of the project),Suitable,Unsuitable
